id;start_date;end_date;language
1;2019-05-30T08:55:20;2019-05-30T02:03:37;FRENCH
2;2019-05-30T10:25:26;2019-05-29T19:31:36;FRENCH
3;2019-05-30T05:57:30;2019-05-29T21:21:30;FRENCH
4;2019-05-29T19:09:22;2019-05-30T02:36:23;FRENCH
5;2019-05-30T04:08:00;2019-05-30T08:52:09;FRENCH
6;2019-05-30T10:25:01;2019-05-30T11:41:57;FRENCH
7;2019-05-29T19:47:21;2019-05-30T08:28:08;FRENCH
8;2019-05-29T17:18:40;2019-05-30T01:18:49;FRENCH
9;2019-05-30T03:06:46;2019-05-30T11:31:24;FRENCH
10;2019-05-30T06:24:55;2019-05-30T03:41:10;FRENCH
